Symbol,Date,Expiry,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Open Int,Change in OI,Underlying Value
NIFTY,13-Mar-13,28-Mar-13,5000,899.15,902,851.9,859.45,851.9,859.45,600,1763.41,371850,-950,5851.2
NIFTY,14-Mar-13,28-Mar-13,5000,863,940,805.2,930.55,935,930.55,679,1998.31,367550,-4300,5908.95
NIFTY,15-Mar-13,28-Mar-13,5000,940,955.8,882.95,886.95,890,886.95,715,2114,361550,-6000,5872.6
NIFTY,18-Mar-13,28-Mar-13,5000,842,861,833,846.65,844,846.65,503,1469.53,350450,-11100,5835.25
NIFTY,19-Mar-13,28-Mar-13,5000,860,860,726.9,746.05,739.4,746.05,522,1513.36,337500,-12950,5745.95
NIFTY,20-Mar-13,28-Mar-13,5000,735,751,700,711.6,714.25,711.6,653,1867.82,317100,-20400,5694.4
NIFTY,21-Mar-13,28-Mar-13,5000,726.5,768,656,664.25,658.2,664.25,2685,7672.57,265550,-51550,5658.75
NIFTY,22-Mar-13,28-Mar-13,5000,667.75,701,639.55,670.7,656.95,670.7,2380,6743.22,217750,-47800,5651.35
NIFTY,25-Mar-13,28-Mar-13,5000,695,710,631.8,640.4,641,640.4,1088,3096.97,188850,-28900,5633.85
NIFTY,26-Mar-13,28-Mar-13,5000,630,655,620,631.6,632,631.6,1453,4097.57,154850,-34000,5641.6
NIFTY,28-Mar-13,28-Mar-13,5000,621.65,682.75,601.4,678.15,678,0,2841,8019.52,41600,-113250,5682.55
