Date,TTM,Expiry,Strike Price,Settle Price,Underlying Value
03-Sep-12,114,27-Dec-12,5000,453.3,5253.75
04-Sep-12,113,27-Dec-12,5000,457.15,5274
05-Sep-12,112,27-Dec-12,5000,424.65,5225.7
06-Sep-12,111,27-Dec-12,5000,427.35,5238.4
07-Sep-12,110,27-Dec-12,5000,495.95,5342.1
08-Sep-12,109,27-Dec-12,5000,510.25,5358.7
10-Sep-12,107,27-Dec-12,5000,507.6,5363.45
11-Sep-12,106,27-Dec-12,5000,536.05,5390
12-Sep-12,105,27-Dec-12,5000,565.7,5431
13-Sep-12,104,27-Dec-12,5000,568.9,5435.35
14-Sep-12,103,27-Dec-12,5000,693,5577.65
17-Sep-12,100,27-Dec-12,5000,728,5610
18-Sep-12,99,27-Dec-12,5000,727.2,5600.05
20-Sep-12,97,27-Dec-12,5000,681.75,5554.25
21-Sep-12,96,27-Dec-12,5000,820.5,5691.15
24-Sep-12,93,27-Dec-12,5000,792.4,5669.6
25-Sep-12,92,27-Dec-12,5000,785.35,5673.9
26-Sep-12,91,27-Dec-12,5000,770.45,5663.45
27-Sep-12,90,27-Dec-12,5000,761.3,5649.5
28-Sep-12,89,27-Dec-12,5000,797.55,5703.3
01-Oct-12,86,27-Dec-12,5000,818.9,5718.8
03-Oct-12,84,27-Dec-12,5000,830.1,5731.25
04-Oct-12,83,27-Dec-12,5000,888.5,5787.6
05-Oct-12,82,27-Dec-12,5000,846.4,5746.95
08-Oct-12,79,27-Dec-12,5000,777.15,5676
09-Oct-12,78,27-Dec-12,5000,795.2,5704.6
10-Oct-12,77,27-Dec-12,5000,752.05,5652.15
11-Oct-12,76,27-Dec-12,5000,798.5,5708.05
12-Oct-12,75,27-Dec-12,5000,761.25,5676.05
15-Oct-12,72,27-Dec-12,5000,772.4,5687.25
16-Oct-12,71,27-Dec-12,5000,721.4,5648
17-Oct-12,70,27-Dec-12,5000,732.75,5660.25
18-Oct-12,69,27-Dec-12,5000,802.35,5718.7
19-Oct-12,68,27-Dec-12,5000,754.75,5684.25
22-Oct-12,65,27-Dec-12,5000,784.5,5717.15
23-Oct-12,64,27-Dec-12,5000,762.1,5691.4
25-Oct-12,62,27-Dec-12,5000,778.7,5705.3
26-Oct-12,61,27-Dec-12,5000,730.45,5664.3
29-Oct-12,58,27-Dec-12,5000,734.95,5665.6
30-Oct-12,57,27-Dec-12,5000,662.9,5597.9
31-Oct-12,57,27-Dec-12,5000,677.4,5619.7
01-Nov-12,56,27-Dec-12,5000,706.35,5645.05
02-Nov-12,55,27-Dec-12,5000,769.55,5697.7
05-Nov-12,52,27-Dec-12,5000,770,5704.2
06-Nov-12,51,27-Dec-12,5000,793.25,5724.4
07-Nov-12,50,27-Dec-12,5000,822.7,5760.1
08-Nov-12,49,27-Dec-12,5000,796.95,5738.75
09-Nov-12,48,27-Dec-12,5000,753.8,5686.25
12-Nov-12,45,27-Dec-12,5000,748.8,5683.7
13-Nov-12,44,27-Dec-12,5000,715.85,5666.95
15-Nov-12,42,27-Dec-12,5000,682.65,5631
16-Nov-12,41,27-Dec-12,5000,609.3,5574.05
19-Nov-12,38,27-Dec-12,5000,620.35,5571.4
20-Nov-12,37,27-Dec-12,5000,614.55,5571.55
21-Nov-12,36,27-Dec-12,5000,648.25,5614.8
22-Nov-12,35,27-Dec-12,5000,665.95,5627.75
23-Nov-12,34,27-Dec-12,5000,658.45,5626.6
26-Nov-12,31,27-Dec-12,5000,669.95,5635.9
27-Nov-12,30,27-Dec-12,5000,762.55,5727.45
